MatrixName,nrows,ncols,nnz,rowMean,rowStd,rowMin,rowMax,rowPRatio,rowTop1,rowTop2,rowTop3,rowTop4,rowTop5,rowTop10,rowTop50,rowTop100,rowTop200,rowTop300,rowHot10,rowHot20,rowHot30,rowHot40,rowHot50,rowHot60,rowHot70,rowHot80,rowHot90,colMean,colStd,colMin,colMax,colPRatio,colTop1,colTop2,colTop3,colTop4,colTop5,colTop10,colTop50,colTop100,colTop200,colTop300,colHot10,colHot20,colHot30,colHot40,colHot50,colHot60,colHot70,colHot80,colHot90,Best col_frac,Best hot_frac
Dubcova3,146689,146689,3636649,24.7916,10.1834,9,49,5.44444,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,0.0505968,0.101194,0.184029,0.27257,0.361111,0.449652,0.538193,0.686623,0.84157,24.7916,10.1834,9,49,5.44444,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,1.97648,0.0505968,0.101194,0.184029,0.27257,0.361111,0.449652,0.538193,0.686623,0.84157,0,0
dw1024,2048,2048,10114,4.93848,0.505945,3,8,2.66667,1.61993,1.61993,1.41744,1.41744,1.41744,1.41744,1.41744,1.01246,1.01246,1.01246,0.0864258,0.185059,0.28418,0.382812,0.481445,0.580566,0.679199,0.777832,0.876465,4.93848,0.505945,3,8,2.66667,1.61993,1.61993,1.41744,1.41744,1.41744,1.41744,1.41744,1.01246,1.01246,1.01246,0.0864258,0.185059,0.28418,0.382812,0.481445,0.580566,0.679199,0.777832,0.876465,0,0
dw2048,2048,2048,10114,4.93848,0.505945,3,8,2.66667,1.61993,1.61993,1.41744,1.41744,1.41744,1.41744,1.41744,1.01246,1.01246,1.01246,0.0864258,0.185059,0.28418,0.382812,0.481445,0.580566,0.679199,0.777832,0.876465,4.93848,0.505945,3,8,2.66667,1.61993,1.61993,1.41744,1.41744,1.41744,1.41744,1.41744,1.01246,1.01246,1.01246,0.0864258,0.185059,0.28418,0.382812,0.481445,0.580566,0.679199,0.777832,0.876465,0,0
dw256A,512,512,2480,4.84375,0.666585,3,7,2.33333,1.44516,1.44516,1.44516,1.44516,1.44516,1.44516,1.03226,1.03226,1.03226,1.03226,0.078125,0.175781,0.273438,0.369141,0.466797,0.5625,0.660156,0.757812,0.875,4.84375,0.666585,3,7,2.33333,1.44516,1.44516,1.44516,1.44516,1.44516,1.44516,1.03226,1.03226,1.03226,1.03226,0.078125,0.175781,0.273438,0.369141,0.466797,0.5625,0.660156,0.757812,0.875,0,0
dw256B,512,512,2500,4.88281,0.730166,3,8,2.66667,1.6384,1.6384,1.4336,1.4336,1.4336,1.4336,1.024,1.024,1.024,1.024,0.0722656,0.169922,0.267578,0.365234,0.462891,0.560547,0.658203,0.755859,0.875,4.88281,0.730166,3,8,2.66667,1.6384,1.6384,1.4336,1.4336,1.4336,1.4336,1.024,1.024,1.024,1.024,0.0722656,0.169922,0.267578,0.365234,0.462891,0.560547,0.658203,0.755859,0.875,0,0
dw4096,8192,8192,41746,5.09595,0.614222,3,8,2.66667,1.56987,1.56987,1.56987,1.56987,1.56987,1.56987,1.37364,1.37364,1.37364,1.37364,0.0726318,0.172241,0.27417,0.376099,0.478027,0.579956,0.681885,0.783813,0.885742,5.09595,0.614222,3,8,2.66667,1.56987,1.56987,1.56987,1.56987,1.56987,1.56987,1.37364,1.37364,1.37364,1.37364,0.0726318,0.172241,0.27417,0.376099,0.478027,0.579956,0.681885,0.783813,0.885742,0,0
dw8192,8192,8192,41746,5.09595,0.614222,3,8,2.66667,1.56987,1.56987,1.56987,1.56987,1.56987,1.56987,1.37364,1.37364,1.37364,1.37364,0.0726318,0.172241,0.27417,0.376099,0.478027,0.579956,0.681885,0.783813,0.885742,5.09595,0.614222,3,8,2.66667,1.56987,1.56987,1.56987,1.56987,1.56987,1.56987,1.37364,1.37364,1.37364,1.37364,0.0726318,0.172241,0.27417,0.376099,0.478027,0.579956,0.681885,0.783813,0.885742,0,0
dwa512,512,512,2480,4.84375,0.666585,3,7,2.33333,1.44516,1.44516,1.44516,1.44516,1.44516,1.44516,1.03226,1.03226,1.03226,1.03226,0.078125,0.175781,0.273438,0.369141,0.466797,0.5625,0.660156,0.757812,0.875,4.84375,0.666585,3,7,2.33333,1.44516,1.44516,1.44516,1.44516,1.44516,1.44516,1.03226,1.03226,1.03226,1.03226,0.078125,0.175781,0.273438,0.369141,0.466797,0.5625,0.660156,0.757812,0.875,0,0
dwb512,512,512,2500,4.88281,0.730166,3,8,2.66667,1.6384,1.6384,1.4336,1.4336,1.4336,1.4336,1.024,1.024,1.024,1.024,0.0722656,0.169922,0.267578,0.365234,0.462891,0.560547,0.658203,0.755859,0.875,4.88281,0.730166,3,8,2.66667,1.6384,1.6384,1.4336,1.4336,1.4336,1.4336,1.024,1.024,1.024,1.024,0.0722656,0.169922,0.267578,0.365234,0.462891,0.560547,0.658203,0.755859,0.875,0,0
dwg961a,961,961,3405,3.54318,2.18796,0,5,0,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,0.0718002,0.14256,0.213319,0.284079,0.354839,0.425598,0.496358,0.567118,0.637877,3.54318,2.18796,0,5,0,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,1.41116,0.0718002,0.14256,0.213319,0.284079,0.354839,0.425598,0.496358,0.567118,0.637877,0,0
dwg961b,961,961,10591,11.0208,4.17335,6,19,3.16667,1.72401,1.72401,1.72401,1.72401,1.72401,1.72401,1.72401,1.72401,1.08885,0.816637,0.0582726,0.116545,0.174818,0.248699,0.366285,0.489074,0.611863,0.733611,0.8564,11.0208,4.17335,6,19,3.16667,1.72401,1.72401,1.72401,1.72401,1.72401,1.72401,1.72401,1.72401,1.08885,0.816637,0.0582726,0.116545,0.174818,0.248699,0.366285,0.489074,0.611863,0.733611,0.8564,0,0
dwt_1005,1005,1005,8621,8.57811,3.61906,4,27,6.75,3.14755,3.14755,2.44809,2.44809,2.44809,2.44809,2.09836,1.63206,1.28233,1.04918,0.0437811,0.0995025,0.173134,0.259701,0.355224,0.450746,0.561194,0.685572,0.827861,8.57811,3.61906,4,27,6.75,3.14755,3.14755,2.44809,2.44809,2.44809,2.44809,2.09836,1.63206,1.28233,1.04918,0.0437811,0.0995025,0.173134,0.259701,0.355224,0.450746,0.561194,0.685572,0.827861,0,0
dwt_1007,1007,1007,8575,8.51539,1.16959,3,10,3.33333,1.17434,1.17434,1.17434,1.17434,1.17434,1.05691,1.05691,1.05691,1.05691,1.05691,0.0943396,0.188679,0.284012,0.378352,0.472691,0.568024,0.662363,0.756703,0.853029,8.51539,1.16959,3,10,3.33333,1.17434,1.17434,1.17434,1.17434,1.17434,1.05691,1.05691,1.05691,1.05691,1.05691,0.0943396,0.188679,0.284012,0.378352,0.472691,0.568024,0.662363,0.756703,0.853029,0,0
dwt_1242,1242,1242,10426,8.39452,1.95041,2,12,6,1.4295,1.4295,1.4295,1.4295,1.4295,1.4295,1.4295,1.4295,1.07213,1.07213,0.0700483,0.145733,0.23752,0.330918,0.424316,0.516908,0.610306,0.714171,0.846216,8.39452,1.95041,2,12,6,1.4295,1.4295,1.4295,1.4295,1.4295,1.4295,1.4295,1.4295,1.07213,1.07213,0.0700483,0.145733,0.23752,0.330918,0.424316,0.516908,0.610306,0.714171,0.846216,0,0
dwt_162,162,162,1182,7.2963,1.73522,2,9,4.5,1.2335,1.2335,1.2335,1.2335,1.2335,1.2335,1.2335,0.822335,0,0,0.0864198,0.166667,0.246914,0.32716,0.407407,0.493827,0.611111,0.734568,0.858025,7.2963,1.73522,2,9,4.5,1.2335,1.2335,1.2335,1.2335,1.2335,1.2335,1.2335,0.822335,0,0,0.0864198,0.166667,0.246914,0.32716,0.407407,0.493827,0.611111,0.734568,0.858025,0,0
dwt_193,193,193,3493,18.0984,6.04437,8,30,3.75,1.6576,1.6576,1.6576,1.6576,1.6576,1.54709,1.16032,0.994561,0,0,0.0673575,0.134715,0.196891,0.279793,0.378238,0.476684,0.580311,0.678756,0.823834,18.0984,6.04437,8,30,3.75,1.6576,1.6576,1.6576,1.6576,1.6576,1.54709,1.16032,0.994561,0,0,0.0673575,0.134715,0.196891,0.279793,0.378238,0.476684,0.580311,0.678756,0.823834,0,0
dwt_198,198,198,1392,7.0303,2.13889,2,12,6,1.7069,1.7069,1.7069,1.7069,1.28017,1.28017,1.28017,0.853448,0,0,0.0757576,0.151515,0.232323,0.308081,0.383838,0.469697,0.585859,0.70202,0.823232,7.0303,2.13889,2,12,6,1.7069,1.7069,1.7069,1.7069,1.28017,1.28017,1.28017,0.853448,0,0,0.0757576,0.151515,0.232323,0.308081,0.383838,0.469697,0.585859,0.70202,0.823232,0,0
dwt_209,209,209,1743,8.33971,2.25299,4,17,4.25,2.03844,1.67871,1.67871,1.55881,1.55881,1.4389,1.19908,1.07917,0.599541,0,0.0669856,0.138756,0.220096,0.30622,0.401914,0.492823,0.598086,0.712919,0.84689,8.33971,2.25299,4,17,4.25,2.03844,1.67871,1.67871,1.55881,1.55881,1.4389,1.19908,1.07917,0.599541,0,0.0669856,0.138756,0.220096,0.30622,0.401914,0.492823,0.598086,0.712919,0.84689,0,0
dwt_221,221,221,1629,7.37104,1.60538,4,12,3,1.62799,1.62799,1.49233,1.49233,1.49233,1.35666,1.22099,1.08533,0.813996,0,0.0723982,0.153846,0.235294,0.321267,0.411765,0.511312,0.61991,0.742081,0.864253,7.37104,1.60538,4,12,3,1.62799,1.62799,1.49233,1.49233,1.49233,1.35666,1.22099,1.08533,0.813996,0,0.0723982,0.153846,0.235294,0.321267,0.411765,0.511312,0.61991,0.742081,0.864253,0,0
dwt_245,245,245,1461,5.96327,2.59566,2,13,6.5,2.18001,2.18001,2.18001,2.01232,2.01232,1.84463,1.34155,1.00616,0.670773,0,0.0530612,0.114286,0.179592,0.253061,0.330612,0.420408,0.530612,0.64898,0.795918,5.96327,2.59566,2,13,6.5,2.18001,2.18001,2.18001,2.01232,2.01232,1.84463,1.34155,1.00616,0.670773,0,0.0530612,0.114286,0.179592,0.253061,0.330612,0.420408,0.530612,0.64898,0.795918,0,0
dwt_2680,2680,2680,25026,9.33806,1.85538,4,19,4.75,2.03468,2.03468,1.82051,1.82051,1.82051,1.71342,1.60633,1.49924,1.28506,1.28506,0.0679104,0.145522,0.236194,0.340299,0.44403,0.547761,0.651493,0.755224,0.858955,9.33806,1.85538,4,19,4.75,2.03468,2.03468,1.82051,1.82051,1.82051,1.71342,1.60633,1.49924,1.28506,1.28506,0.0679104,0.145522,0.236194,0.340299,0.44403,0.547761,0.651493,0.755224,0.858955,0,0
dwt_307,307,307,2523,8.21824,1.09243,6,9,1.5,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,0.973444,0.730083,0.0944625,0.185668,0.276873,0.368078,0.459283,0.550489,0.644951,0.749186,0.86645,8.21824,1.09243,6,9,1.5,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,0.973444,0.730083,0.0944625,0.185668,0.276873,0.368078,0.459283,0.550489,0.644951,0.749186,0.86645,0,0
dwt_310,310,310,2448,7.89677,1.47309,4,11,2.75,1.39297,1.13971,1.13971,1.13971,1.13971,1.13971,1.13971,1.13971,1.01307,0.63317,0.0870968,0.177419,0.264516,0.351613,0.43871,0.525806,0.619355,0.729032,0.858065,7.89677,1.47309,4,11,2.75,1.39297,1.13971,1.13971,1.13971,1.13971,1.13971,1.13971,1.13971,1.01307,0.63317,0.0870968,0.177419,0.264516,0.351613,0.43871,0.525806,0.619355,0.729032,0.858065,0,0
dwt_346,346,346,3226,9.3237,4.16417,2,19,9.5,2.03782,2.03782,2.03782,2.03782,2.03782,1.82331,1.50155,1.28704,0.965282,0.429014,0.0549133,0.115607,0.182081,0.257225,0.33526,0.424855,0.520231,0.630058,0.760116,9.3237,4.16417,2,19,9.5,2.03782,2.03782,2.03782,2.03782,2.03782,1.82331,1.50155,1.28704,0.965282,0.429014,0.0549133,0.115607,0.182081,0.257225,0.33526,0.424855,0.520231,0.630058,0.760116,0,0
dwt_361,361,361,2953,8.18006,1.34318,4,9,2.25,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,0.733491,0.0914127,0.182825,0.274238,0.365651,0.457064,0.545706,0.637119,0.731302,0.855956,8.18006,1.34318,4,9,2.25,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,1.10024,0.733491,0.0914127,0.182825,0.274238,0.365651,0.457064,0.545706,0.637119,0.731302,0.855956,0,0
dwt_419,419,419,3563,8.50358,1.74286,6,13,2.16667,1.52877,1.52877,1.41117,1.41117,1.41117,1.41117,1.17598,1.17598,0.94078,0.823183,0.071599,0.152745,0.238663,0.324582,0.417661,0.5179,0.622912,0.732697,0.859189,8.50358,1.74286,6,13,2.16667,1.52877,1.52877,1.41117,1.41117,1.41117,1.41117,1.17598,1.17598,0.94078,0.823183,0.071599,0.152745,0.238663,0.324582,0.417661,0.5179,0.622912,0.732697,0.859189,0,0
dwt_492,492,492,3156,6.41463,1.94613,3,11,3.66667,1.71483,1.71483,1.71483,1.71483,1.71483,1.71483,1.24715,1.24715,1.09125,0.935361,0.0609756,0.134146,0.215447,0.294715,0.386179,0.477642,0.583333,0.697154,0.825203,6.41463,1.94613,3,11,3.66667,1.71483,1.71483,1.71483,1.71483,1.71483,1.71483,1.24715,1.24715,1.09125,0.935361,0.0609756,0.134146,0.215447,0.294715,0.386179,0.477642,0.583333,0.697154,0.825203,0,0
dwt_503,503,503,6027,11.9821,4.98643,4,25,6.25,2.08644,1.91953,1.83607,1.83607,1.75261,1.75261,1.75261,1.41878,1.00149,0.75112,0.0576541,0.115308,0.17495,0.246521,0.332008,0.431412,0.540755,0.673956,0.807157,11.9821,4.98643,4,25,6.25,2.08644,1.91953,1.83607,1.83607,1.75261,1.75261,1.75261,1.41878,1.00149,0.75112,0.0576541,0.115308,0.17495,0.246521,0.332008,0.431412,0.540755,0.673956,0.807157,0,0
dwt_512,512,512,3502,6.83984,3.46716,1,15,15,2.19303,2.19303,2.19303,2.04683,2.04683,2.04683,1.75443,1.46202,1.16962,0.877213,0.0527344,0.109375,0.167969,0.234375,0.310547,0.388672,0.488281,0.601562,0.746094,6.83984,3.46716,1,15,15,2.19303,2.19303,2.19303,2.04683,2.04683,2.04683,1.75443,1.46202,1.16962,0.877213,0.0527344,0.109375,0.167969,0.234375,0.310547,0.388672,0.488281,0.601562,0.746094,0,0
dwt_592,592,592,5104,8.62162,1.60618,4,15,3.75,1.73981,1.73981,1.73981,1.73981,1.73981,1.39185,1.04389,1.04389,1.04389,1.04389,0.0709459,0.16723,0.263514,0.358108,0.454392,0.550676,0.64527,0.741554,0.85473,8.62162,1.60618,4,15,3.75,1.73981,1.73981,1.73981,1.73981,1.73981,1.39185,1.04389,1.04389,1.04389,1.04389,0.0709459,0.16723,0.263514,0.358108,0.454392,0.550676,0.64527,0.741554,0.85473,0,0
dwt_607,607,607,5131,8.45305,2.37033,4,14,3.5,1.65621,1.65621,1.65621,1.65621,1.65621,1.65621,1.41961,1.30131,1.0647,1.0647,0.0658979,0.136738,0.214168,0.304778,0.398682,0.492586,0.586491,0.70346,0.843493,8.45305,2.37033,4,14,3.5,1.65621,1.65621,1.65621,1.65621,1.65621,1.65621,1.41961,1.30131,1.0647,1.0647,0.0658979,0.136738,0.214168,0.304778,0.398682,0.492586,0.586491,0.70346,0.843493,0,0
dwt_758,758,758,5994,7.90765,1.49649,4,11,2.75,1.39106,1.39106,1.13814,1.13814,1.13814,1.13814,1.13814,1.13814,1.13814,1.13814,0.0883905,0.175462,0.263852,0.350923,0.439314,0.527704,0.614776,0.728232,0.860158,7.90765,1.49649,4,11,2.75,1.39106,1.39106,1.13814,1.13814,1.13814,1.13814,1.13814,1.13814,1.13814,1.13814,0.0883905,0.175462,0.263852,0.350923,0.439314,0.527704,0.614776,0.728232,0.860158,0,0
dwt_869,869,869,7285,8.3832,1.66166,4,14,3.5,1.67001,1.67001,1.67001,1.67001,1.67001,1.43143,1.31215,1.07358,1.07358,1.07358,0.0724971,0.163406,0.256617,0.349827,0.443038,0.536249,0.629459,0.726122,0.852704,8.3832,1.66166,4,14,3.5,1.67001,1.67001,1.67001,1.67001,1.67001,1.43143,1.31215,1.07358,1.07358,1.07358,0.0724971,0.163406,0.256617,0.349827,0.443038,0.536249,0.629459,0.726122,0.852704,0,0
dwt_878,878,878,7448,8.48292,1.18131,4,10,2.5,1.17884,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,0.094533,0.189066,0.283599,0.376993,0.471526,0.566059,0.660592,0.753986,0.854214,8.48292,1.18131,4,10,2.5,1.17884,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,1.06096,0.094533,0.189066,0.283599,0.376993,0.471526,0.566059,0.660592,0.753986,0.854214,0,0
dwt_918,918,918,7384,8.04357,1.82761,4,13,3.25,1.6162,1.6162,1.6162,1.6162,1.6162,1.49187,1.49187,1.11891,1.11891,1.11891,0.0675381,0.148148,0.237473,0.326797,0.416122,0.507625,0.607843,0.728758,0.862745,8.04357,1.82761,4,13,3.25,1.6162,1.6162,1.6162,1.6162,1.6162,1.49187,1.49187,1.11891,1.11891,1.11891,0.0675381,0.148148,0.237473,0.326797,0.416122,0.507625,0.607843,0.728758,0.862745,0,0
dwt_992,992,992,16744,16.879,2.40662,8,18,2.25,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,0.0947581,0.188508,0.282258,0.376008,0.469758,0.563508,0.657258,0.751008,0.856855,16.879,2.40662,8,18,2.25,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,1.06641,0.0947581,0.188508,0.282258,0.376008,0.469758,0.563508,0.657258,0.751008,0.856855,0,0
dynamicSoaringProblem_1,647,647,5367,8.29521,11.4744,2,242,121,29.1735,19.2882,1.80827,1.80827,1.80827,1.80827,1.32607,1.32607,1.20552,1.08496,0.0170015,0.0865533,0.162287,0.238022,0.316847,0.400309,0.491499,0.591963,0.743431,8.29521,11.4744,2,242,121,29.1735,19.2882,1.80827,1.80827,1.80827,1.80827,1.32607,1.32607,1.20552,1.08496,0.0170015,0.0865533,0.162287,0.238022,0.316847,0.400309,0.491499,0.591963,0.743431,0,0
dynamicSoaringProblem_2,1591,1591,15588,9.79761,18.246,2,596,298,60.8312,40.418,2.55164,2.44958,2.34751,2.24545,1.73512,1.63305,1.53099,1.42892,0.0194846,0.0785669,0.142678,0.209931,0.282841,0.367065,0.465116,0.570082,0.707102,9.79761,18.246,2,596,298,60.8312,40.418,2.55164,2.44958,2.34751,2.24545,1.73512,1.63305,1.53099,1.42892,0.0194846,0.0785669,0.142678,0.209931,0.282841,0.367065,0.465116,0.570082,0.707102,0,0
dynamicSoaringProblem_3,2871,2871,32022,11.1536,24.3605,2,1076,538,96.4711,64.1945,2.24143,2.15177,2.15177,2.06211,1.8828,1.52417,1.43451,1.34486,0.0236851,0.0923023,0.165796,0.239986,0.319053,0.400557,0.487287,0.5876,0.706374,11.1536,24.3605,2,1076,538,96.4711,64.1945,2.24143,2.15177,2.15177,2.06211,1.8828,1.52417,1.43451,1.34486,0.0236851,0.0923023,0.165796,0.239986,0.319053,0.400557,0.487287,0.5876,0.706374,0,0
dynamicSoaringProblem_4,3191,3191,36516,11.4434,25.6665,2,1196,598,104.514,69.5595,2.27205,2.18466,2.18466,2.09727,1.83511,1.57295,1.39818,1.39818,0.0244437,0.093701,0.167972,0.244124,0.323723,0.406142,0.494202,0.590724,0.708555,11.4434,25.6665,2,1196,598,104.514,69.5595,2.27205,2.18466,2.18466,2.09727,1.83511,1.57295,1.39818,1.39818,0.0244437,0.093701,0.167972,0.244124,0.323723,0.406142,0.494202,0.590724,0.708555,0,0
dynamicSoaringProblem_5,3271,3271,36789,11.247,25.9821,2,1226,613,109.007,72.5526,2.31172,2.22281,2.1339,2.1339,1.86716,1.51151,1.4226,1.4226,0.0238459,0.0917151,0.164781,0.239988,0.319168,0.400795,0.487924,0.586365,0.7059,11.247,25.9821,2,1226,613,109.007,72.5526,2.31172,2.22281,2.1339,2.1339,1.86716,1.51151,1.4226,1.4226,0.0238459,0.0917151,0.164781,0.239988,0.319168,0.400795,0.487924,0.586365,0.7059,0,0
dynamicSoaringProblem_6,3431,3431,36741,10.7085,26.5774,2,1286,643,120.091,79.9362,2.2412,2.2412,2.2412,2.14782,1.96105,1.58752,1.49413,1.40075,0.0218595,0.0888954,0.160012,0.233751,0.310114,0.392014,0.480035,0.583503,0.705334,10.7085,26.5774,2,1286,643,120.091,79.9362,2.2412,2.2412,2.2412,2.14782,1.96105,1.58752,1.49413,1.40075,0.0218595,0.0888954,0.160012,0.233751,0.310114,0.392014,0.480035,0.583503,0.705334,0,0
dynamicSoaringProblem_7,3511,3511,37680,10.732,26.8776,2,1316,658,122.624,81.6252,2.23631,2.23631,2.23631,2.14313,1.95677,1.58405,1.49087,1.39769,0.0219311,0.0891484,0.160638,0.234691,0.311307,0.393905,0.482199,0.585303,0.706636,10.732,26.8776,2,1316,658,122.624,81.6252,2.23631,2.23631,2.23631,2.14313,1.95677,1.58405,1.49087,1.39769,0.0219311,0.0891484,0.160638,0.234691,0.311307,0.393905,0.482199,0.585303,0.706636,0,0
dynamicSoaringProblem_8,3543,3543,38136,10.7638,26.9981,2,1328,664,123.377,82.1274,2.2297,2.2297,2.2297,2.1368,1.95099,1.57937,1.48647,1.39357,0.0222975,0.0894722,0.161163,0.235394,0.312447,0.394863,0.482642,0.585662,0.70731,10.7638,26.9981,2,1328,664,123.377,82.1274,2.2297,2.2297,2.2297,2.1368,1.95099,1.57937,1.48647,1.39357,0.0222975,0.0894722,0.161163,0.235394,0.312447,0.394863,0.482642,0.585662,0.70731,0,0
e40r0100,17281,17281,553562,32.033,15.5422,8,62,7.75,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,0.0516753,0.103351,0.155026,0.233783,0.322782,0.411782,0.500839,0.641398,0.809097,32.033,15.5422,8,62,7.75,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,1.9355,0.0516753,0.103351,0.155026,0.233783,0.322782,0.411782,0.500839,0.641398,0.809097,0,0
EAT_RS,23219,23219,325592,14.0227,38.7691,0,1074,0,76.5904,74.5936,61.4006,59.0473,55.6243,47.4233,25.8867,18.5414,13.4069,11.0535,0.00288557,0.00882898,0.0179594,0.0319135,0.0528447,0.0848874,0.137,0.228778,0.418752,14.0227,20.0898,0,78,0,5.56243,5.20586,5.20586,5.20586,5.20586,5.06324,4.77798,4.56404,4.42142,4.27879,0.0228692,0.048624,0.0764029,0.10612,0.137904,0.171799,0.208321,0.248245,0.29338,0,0
EAT_SR,23219,23219,325589,14.0225,20.0896,0,78,0,5.56248,5.20591,5.20591,5.20591,5.20591,5.06328,4.77803,4.56409,4.42146,4.27883,0.0228692,0.048624,0.0764029,0.10612,0.137904,0.171799,0.208321,0.248245,0.29338,14.0225,38.7692,0,1074,0,76.5911,74.5943,61.4012,59.0479,55.6248,47.4237,25.8869,18.5416,13.407,11.0536,0.00288557,0.00882898,0.0179594,0.0319135,0.0528447,0.0848874,0.136957,0.228778,0.418752,0,0
ecl32,51993,51993,380415,7.31666,3.35036,1,23,23,3.14351,2.87016,2.87016,2.73349,2.59681,2.59681,2.32347,2.18679,2.05012,2.05012,0.0583155,0.128344,0.201873,0.283154,0.364453,0.447733,0.539207,0.630662,0.72906,7.31666,3.38317,1,22,22,3.00684,2.73349,2.73349,2.73349,2.73349,2.59681,2.32347,2.18679,2.05012,2.05012,0.0581809,0.127998,0.201162,0.280249,0.361549,0.442848,0.529321,0.624853,0.729387,0,0
Ecoli_10NN,336,336,4560,13.5714,3.10351,10,26,2.6,1.91579,1.76842,1.69474,1.69474,1.69474,1.54737,1.25263,1.10526,0.884211,0.736842,0.0654762,0.139881,0.223214,0.315476,0.410714,0.514881,0.625,0.741071,0.866071,13.5714,3.10351,10,26,2.6,1.91579,1.76842,1.69474,1.69474,1.69474,1.54737,1.25263,1.10526,0.884211,0.736842,0.0654762,0.139881,0.223214,0.315476,0.410714,0.514881,0.625,0.741071,0.866071,0,0
ecology1,1000000,1000000,4996000,4.996,0.0631823,3,5,1.66667,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,0.09992,0.19984,0.29976,0.39968,0.4996,0.59952,0.69944,0.79936,0.89928,4.996,0.0631823,3,5,1.66667,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,0.09992,0.19984,0.29976,0.39968,0.4996,0.59952,0.69944,0.79936,0.89928,0,0
ecology2,999999,999999,4995991,4.996,0.0632137,3,5,1.66667,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,0.0999201,0.19984,0.29976,0.39968,0.4996,0.59952,0.69944,0.79936,0.89928,4.996,0.0632137,3,5,1.66667,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,0.0999201,0.19984,0.29976,0.39968,0.4996,0.59952,0.69944,0.79936,0.89928,0,0
email,1133,1133,10902,9.62224,9.33964,1,71,71,7.37874,5.40415,5.30022,5.30022,5.30022,4.46881,3.11778,2.49422,1.76674,1.35104,0.0229479,0.0529568,0.0900265,0.134157,0.188879,0.25684,0.338923,0.443071,0.595763,9.62224,9.33964,1,71,71,7.37874,5.40415,5.30022,5.30022,5.30022,4.46881,3.11778,2.49422,1.76674,1.35104,0.0229479,0.0529568,0.0900265,0.134157,0.188879,0.25684,0.338923,0.443071,0.595763,0,0
email-Enron,36692,36692,367662,10.0202,36.1,1,1383,1383,138.021,136.424,125.846,124.249,124.149,92.2135,40.4183,28.4425,18.9617,14.6703,0.00158073,0.00542353,0.012346,0.0236836,0.0416985,0.071705,0.126622,0.233184,0.433364,10.0202,36.1,1,1383,1383,138.021,136.424,125.846,124.249,124.149,92.2135,40.4183,28.4425,18.9617,14.6703,0.00158073,0.00542353,0.012346,0.0236836,0.0416985,0.071705,0.126622,0.233184,0.433364,0,0
email-EuAll,265214,265214,420045,1.5838,9.98398,0,930,0,587.197,549.944,539.211,512.061,480.491,402.83,214.043,156.586,107.337,77.0301,0.000433612,0.00151576,0.00595745,0.0285354,0.0917749,0.216395,0.374777,0.533154,0.691536,1.5838,36.5271,0,7631,0,4818.17,3945.58,3756.16,2718.78,2490.85,1133.35,618.766,407.881,268.974,191.312,4.52E-05,0.000162133,0.00035066,0.000633451,0.00103313,0.0016251,0.00268462,0.0125144,0.123131,0.624354566,0.286281137
email-Eu-core,1005,1005,25571,25.4438,33.3073,0,334,0,13.127,8.92163,8.72512,8.01768,7.93907,6.17047,3.57651,2.55465,1.6507,1.17907,0.0139303,0.0358209,0.0626866,0.0985075,0.141294,0.19602,0.262687,0.351244,0.474627,25.4438,27.9569,0,212,0,8.33209,7.03512,6.64209,6.17047,6.05256,5.18791,3.26209,2.39744,1.6114,1.21837,0.0189055,0.0437811,0.0776119,0.119403,0.172139,0.233831,0.309453,0.406965,0.539303,0,0
